Serial,DeploymentId,Name,DBA,InvHub-Invoices,InvHub-Statements,EP-Unknown,EP-Unknown-PAID,EP-SO,EP-SO-PAID,EP-PartsDeposit,EP-PartsDeposit-PAID,EP-SalesDeposit,EP-SalesDeposit-PAID,EP-Invoice,EP-Invoice-PAID,EP-SODeposit,EP-SODeposit-PAID,EP-ApptDeposit,EP-ApptDeposit-PAID,EP-ARExpressPay,EP-ARExpressPay-PAID,EP-ARStatement,EP-ARStatement-PAID,Usage-AddWork,Usage-AddWorkTech,Usage-ArchiveCount,Usage-AttachmentCount,Usage-AutoBilling,Usage-BarcodeLabel,Usage-BinLabel,Usage-CustomerCare,Usage-DataTablesTotalSize,Usage-DealActivity,Usage-DueBill,Usage-eSignature,Usage-InspectionReportLayout,Usage-MakeReady,Usage-MaxUsers,Usage-OnlineApproval,Usage-PartRequest,Usage-PickTicketLabel,Usage-PurchaseOrder,Usage-ServiceEstimates,Usage-ServiceInspections,Usage-ServiceOrders,Usage-ServiceOrders-Closed,Usage-ServiceOrders-CustPay,Usage-ServieOrders-WithMedia,Usage-SOPLabel,Usage-TiresInStorage,Usage-TireStorageLabel,Usage-VSL,Usage-WPEvent
2142,F35C9910-A726-41A5-A9E7-BAA3494A0B3E,COLD LAKE CHRYSLER JEEP,,131,26,0,0,0,0,3,2,3,2,2,2,4,3,1,1,1,1,0,0,126,0,9937,686,0,2,0,0,8,0,0,,,39,22,0,0,1,0,377,,472,419,272,2,3,0,0,0,1914
2170,A388944A-1115-4352-8259-564DA8C00BB7,EDMONTON MOTORS LTD.,WOLFE CADILLAC,1457,107,0,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,58,74684,14278,0,0,0,8,0,0,0,,0,0,49,0,18,1,706,0,0,703,603,319,0,1,436,0,0,10422
2180,A388944A-1115-4352-8259-564DA8C00BB7,GSL GM CITY,WOLFE CHEVROLET GMC BUICK CALGARY,687,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,1139,74684,14278,0,8,5,8,0,190,0,,0,0,77,48,2981,2,511,70,0,1516,1294,771,371,1,623,4,1,18701
2210,93F519F0-521F-44A2-859C-AEB6AA473E89,NABER FORD SALES LTD,NABER FORD SALES LTD,298,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3178,226,0,1,0,0,8,0,4,,,0,14,0,0,1,0,148,,325,263,200,0,3,0,0,0,245
2215,536E99F9-5C00-4B2C-990C-47165B16AF0F,COLD LAKE FORD,,294,0,0,0,7,3,22,12,0,0,0,0,9,8,8,8,0,0,0,0,863,695,16977,969,0,19,8,2,0,0,19,,,0,28,0,1730,8,0,178,,620,585,457,51,12,176,6,0,4375
2218,62cafbaf-03db-4f35-8e8f-5afb5d2d2827,1717887 ALBERTA LTD.,CAMROSE TOYOTA,123,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,556,5409,96,0,1,0,0,8,0,68,,,65,28,0,1030,1,0,44,,536,489,289,0,1,91,3,0,1656
2219,BF4CE10D-25B1-4139-B725-8A4472B989CB,GREAT PLAINS FORD SALES,,362,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,5489,213,0,1,0,8,8,0,0,,0,0,26,0,546,1,268,190,0,660,524,392,0,2,0,0,1,1130
2250,A6028313-0123-497D-9FB1-54E4744C495B,OCEAN PARK FORD SALES LTD.,,513,0,0,0,33,22,7,4,0,0,0,0,0,0,0,0,0,0,0,0,757,323,11807,1066,648,1,0,0,0,0,0,,0,0,54,0,0,1,360,87,0,1340,1158,878,0,1,0,0,1,6408
2254,09CF3305-1835-480E-9076-AFA963810388,PORTMAR HOLDINGS LTD ,CAMPBELL RIVER HONDA,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,2624,1269,0,1,0,1,8,0,2,,0,5,9,0,18,1,0,203,0,272,263,196,0,1,81,2,0,2001
2326,1B7BB098-4A6D-4716-95F2-5C9874E7BF4C,FERNIE FORD SALES LTD.,LEGACY FORD FERNIE,913,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,234,6239,633,0,0,0,0,0,1,11,,,0,22,0,601,1,0,62,,343,292,182,0,1,233,5,0,2348
2340,CC0446EC-4BF1-45BA-86B0-AE54743E3632,ISLAND MOTOR PRODUCTS INC,,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,1,5504,115,0,0,0,0,8,1,49,,,0,15,0,0,1,0,171,,596,549,391,0,0,0,0,0,2248
2344,D80CAD9C-E491-4106-A463-895A80A7E4D4,COMOX VALLEY CHRYSLER JEEP DODGE RAM,COMOX VALLEY CHRYSLER JEEP DODGE RAM,171,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,124,7462,876,0,1,1,0,0,0,0,,0,0,28,0,37,2,0,337,0,655,579,289,59,2,42,2,1,3987
2353,706BEADF-F808-4A0B-A841-02D986B17785,328633 B.C. Ltd.,Wolfe's Langley Mazda,309,55,0,0,14,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,690,1,8118,253,0,1,0,0,0,0,0,,,133,28,0,909,1,277,425,,979,950,695,0,1,0,0,1,351
2355,d75f8dce-cab5-445d-962f-039727bb8c9d,0932591 B.C. LTD,MSA FORD SALES,1151,143,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1183,1019,8989,3356,0,2,0,0,0,0,33,,,0,50,0,3283,1,536,129,,974,848,547,276,2,0,0,0,2757
2357,0AF0EBE9-E7E6-4ED2-9CFC-C831FF4C0BD3,FORT MOTORS LTD,,1042,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,795,14270,2132,0,3,1,0,0,0,0,,0,79,57,0,3763,1,246,32,0,1120,888,610,32,1,90,1,0,6837
2371,3F9E50E4-3F88-4FCE-8409-4DF98FCCECFF,HARBOURVIEW AUTOHAUS LTD,,446,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,145,11091,365,0,1,1,2,8,0,74,,,66,34,0,933,1,137,412,,800,769,530,33,0,0,0,0,5636
2411,DE4FE8BB-94CA-4D80-BFC5-E764D6EDFCA1,PARKERS CHRYSLER DODGE JEEP LTD,,329,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,6543,2096,0,1,1,0,8,0,0,,0,0,33,0,1,1,314,0,0,833,684,457,0,3,0,0,0,520
2414,4D9A6982-9DCE-481B-B2B7-B3DDBC0A40DE,PIONEER GARAGE LIMITED,,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,7149,65,0,1,0,0,0,1,0,,0,0,51,0,0,1,902,1,0,706,619,143,0,2,0,0,0,518
2419,A334BAFC-5AE7-4869-A952-A668CD6E8728,RAINBOW CHRYSLER DODGE JEEP RAM LTD.,RAINBOW CHRYSLER DODGE JEEP RAM LTD.,139,20,0,0,1,1,6,3,0,0,0,0,1,0,0,0,0,0,0,0,439,347,2503,585,0,2,0,3,8,0,28,,,75,22,0,623,2,122,181,,330,305,218,1,3,128,4,0,2291
2504,5B5AA27C-D16F-4B25-BADC-7B56C4DF7A45,BAYVIEW CHRYSLER DODGE LTD.,,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,6656,224,241,1,0,0,8,0,69,,,0,28,0,0,1,0,0,,858,712,376,0,1,91,2,0,1721
2548,12911F4A-2889-4006-A717-E73C1227CCBB,DIXIE FORD SALES LIMITED,,849,118,0,0,46,13,0,0,22,14,0,0,0,0,0,0,1,1,0,0,1331,442,9279,1619,0,1,0,2,0,0,175,,,0,50,0,1337,1,272,13,,1044,951,555,4,1,115,3,0,7018
2562,45448E79-2238-4F32-9B9C-95D64DB0DB7A,BLUE MOUNTAIN CHRYSLER LTD,,184,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,5167,204,72,1,0,0,8,0,76,,,0,23,0,364,1,13,0,,513,475,305,0,1,629,1,0,639
2592,3A5387E7-0476-470C-9241-8915739DFEBD,ORANGEVILLE CHRYSLER LTD.,,361,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,110,10529,885,0,1,0,3,8,6,0,,,0,40,0,1,1,0,64,,971,846,558,0,1,188,1,1,4844
2595,379D3EB6-1765-4EF5-9DEC-5E2968BB255B,THRASHER SALES & LEASING LTD.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,0,2
2621,97FC94E4-9BA0-47F6-8D5C-B1313F20AC19,BLAIKIES DODGE CHRYSLER LTD.,,394,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,7698,343,0,1,1,0,0,0,99,,,0,24,0,15,1,0,189,,454,377,281,0,1,0,0,0,1368
2623,AD3D6387-340E-4324-B9CE-54F9CB9318F7,POTHIER MOTORS LTD.,,264,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,87,6077,513,0,1,0,0,8,0,0,,0,69,37,0,957,1,6,36,0,588,465,381,33,1,156,8,0,3510
2627,190CFEE1-0030-42B2-8493-B7B5B719D0A7,DOWNEY FORD SALES (MAIN STORE),,831,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,12,23807,1323,0,1,0,327,208,0,0,,,0,60,0,21,1,178,496,,1024,802,624,0,1,0,0,1,3596
2635,97FC94E4-9BA0-47F6-8D5C-B1313F20AC19,ATLANTIC DODGE CHRYSLER JEEP,,115,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,7698,343,0,1,0,0,0,0,62,,,0,12,0,110,1,1,122,,236,218,132,0,0,0,0,1,3022
2651,3546624B-9CA5-48BB-8102-A473F890502F,NORRAD CHRYSLER (1997) LTD.,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,451,54,0,0,0,0,0,0,0,,,0,9,0,0,1,114,20,,328,317,240,0,0,0,0,0,74
2658,0FB35B77-5885-4867-B8AB-CB640B047EC7,CENTRAL NOVA SUBARU OUTBACK HOLDINGS LTD,,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,5043,302,0,1,0,0,0,0,0,,0,0,10,0,0,1,0,2,0,322,304,207,1,0,0,0,0,193
2675,448270FB-E686-4EE5-8F6D-5EA1C8A5436A,WHEELS & DEALS LTD.,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,4771,338,0,0,0,61,0,0,12,,,0,23,0,0,0,0,0,,302,241,10,0,0,0,0,0,1633
2693,0E7E66AA-E048-4203-B7A2-55A3ABAA1915,BRUCE V-T LIMITED,TRURO VOLKSWAGEN,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,21,241,1271,0,1,0,0,0,0,236,,,79,20,0,432,1,11,15,,357,286,207,208,2,0,0,0,2212
2694,0C584B82-7C38-43FB-A9C1-A06EB0C2F77A,WHITEHORSE SUBARU,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,601,62,0,0,0,1,8,0,94,,,0,7,0,0,1,0,0,,440,409,330,0,0,140,0,0,939
2842,6DE6AA13-AF5A-47EA-9974-01ABFF8856A1,SHAWVILLE FORD INC.,,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,1516,8,0,1,0,0,8,0,0,,0,0,11,0,0,1,0,39,0,383,314,273,0,1,0,0,0,179
2843,F93A8226-2EA4-4312-B2D8-D053CB066211,9382542 CANADA INC.,DORMANI INFINITI,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,27,622,27,0,1,0,0,8,0,0,,274,0,11,0,0,1,0,16,0,67,66,49,0,0,0,0,0,55
2844,27CA8858-7113-4FA5-92D0-031587235915,4544391 Canada Inc.,Dormani Nissan,172,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,163,3934,89,0,0,0,0,8,0,0,,18,0,20,0,0,1,81,136,0,586,530,421,0,1,0,0,0,1314
2888,4B24D51B-0A9A-4275-A1B6-CA6A70D11728,6838600 CANADA INC. DBA RALLYE MITSUBISHI,RALLYE MITSUBISHI,117,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,3606,88,0,1,0,1,8,0,0,,0,0,20,0,0,1,0,1,0,666,571,463,0,1,0,0,0,395
2890,709A2DD6-78BD-440A-8BB7-2DEEF182CFF2,3463192 CANADA INC,MEGA AUTOMOBILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,,0,,0,0
2891,1B75F0D1-0ECE-43CD-9D66-A9C3282EEE4F,LE CENTRE DU VR LEISURE DAYS GATINEAU,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,1259,0,2,0,0,8,0,0,,,0,13,0,0,0,30,0,,0,0,0,0,0,0,0,0,96
2894,E7651F3E-F3D8-4F95-B02C-32867D4762A0,9106-3644 QUEBEC INC,SUBARU GRANBY,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3115,95,0,1,0,1,8,0,109,,0,0,15,0,0,1,79,10,0,633,604,494,0,1,455,1,1,226
2898,36BAFC3B-E3D9-4B71-8C6F-D02D998D2043,ST-JEROME CHRYSLER JEEP DODGE INC,,214,59,0,0,0,0,0,0,27,14,0,0,8,2,0,0,0,0,0,0,391,64,26577,6373,0,1,0,4,0,0,356,,0,216,45,0,2,1,73,0,0,609,454,290,4,1,717,3,0,5218
2899,36BAFC3B-E3D9-4B71-8C6F-D02D998D2043,ST-JEROME CHEVROLET BUICK GMC INC,,595,191,0,0,335,33,3,2,0,0,18,13,0,0,0,0,0,0,0,0,873,0,26577,6373,0,2,0,4,0,0,1450,,0,27,97,0,0,1,444,4,0,1894,1705,952,113,1,1224,3,0,11709
2901,68930439-119E-4A0A-910E-A4C343D2D660,GIMLI AUTO LTD.,,121,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1792,140,0,0,1,0,8,0,0,,0,0,9,0,0,1,0,38,0,384,338,325,0,1,0,0,0,1034
2949,F770D488-EB1C-4AC5-B310-112EDB0099B3,CRAIG DUNN CHEVROLET BUICK GMC LTD.,,361,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,6302,869,0,1,0,0,8,0,0,,0,0,30,0,0,1,55,186,0,803,651,562,0,1,144,2,1,2273
2954,FE015957-24A7-4441-8637-99A81FFAEBF6,SUPERIOR CHRYSLER DODGE JEEP,,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,211,4586,323,0,0,0,0,8,29,35,,0,0,29,0,0,1,23,0,0,766,700,381,0,1,0,0,0,1947
2995,A8858F75-498F-4DE4-9AD8-75B88D7C6E27,MCPHILLIPS NISSAN,,177,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,2,5603,200,0,1,1,1,8,0,0,,,0,30,0,61,1,0,257,,779,718,453,0,1,0,0,0,9292
2998,31A01962-9E4C-4740-80B8-07B04B0EA48A,3147444 MB Ltd. ,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2999,36C55595-045F-4C14-BB56-C3DA1706CE3B,WINNIPEG KIA,,207,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,367,7651,466,0,2,0,0,8,0,0,,,0,38,0,993,2,284,0,,641,590,386,0,2,0,0,0,4281
3001,E17F0290-14E3-4B38-8CAC-BC36779B1B50,REDLINE CHRYSLER DODGE JEEP RAM LTD.,REDLINE CHRYSLER DODGE JEEP RAM LTD.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1879,45,0,1,0,0,8,0,0,,0,0,7,0,0,1,0,113,0,278,241,181,0,0,0,0,0,422
3003,C36E36E3-9779-43C1-B99C-265621FC375F,JANZEN PONTIAC BUICK LTD.,JANZEN CHEVROLET BUICK GMC,735,141,0,0,58,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,9488,1618,0,5,1,0,8,0,46,,,0,37,0,344,1,419,37,,997,857,756,0,1,0,0,0,2219
3004,B4BE9246-7AA3-4FD3-8636-7340B6B02E18,SOUTHLAND VENTURES INC.,JANZEN CHEVROLET BUICK GMC,29,0,0,0,32,8,0,0,2,0,5,4,0,0,0,0,0,0,0,0,164,4,5217,795,0,1,1,0,8,0,0,,,0,25,0,0,1,256,0,,582,496,433,3,1,0,0,0,870
3006,75AB2A7A-0B4F-4FA6-B805-9910CA9A2161,CROSS-TOWN MOTORS ROBLIN LTD,,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1646,195,0,1,0,0,0,0,0,,16,0,16,0,135,1,0,66,0,317,264,184,7,1,0,0,0,1365
3007,A303F0E6-2AF1-4BB4-8B41-74FE4C96F3F3,HOMETOWN SERVICE LTD.,,893,169,0,0,40,23,0,0,0,0,0,0,0,0,0,0,7,7,0,0,504,357,4458,1049,0,4,1,1,0,0,148,,,0,27,0,350,20,26,8,,651,575,463,0,29,153,23,0,3404
3008,A87597AD-707E-4562-AA07-D3BAD60072B7,7178728 MANITOBA LTD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,26,0,,,0,0,0,0,0,0,0,10,0,0,,0,0,,0,0,0,,,0,,0,25
3009,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,TWIN MOTORS LTD.,TWIN MOTORS THE PAS,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,177,26749,2734,0,1,0,2,0,0,201,,,63,29,0,460,1,0,112,,454,322,294,0,1,249,1,0,3694
3010,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,TWIN MOTORS THOMPSON,,252,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,349,26749,2734,0,1,0,2,0,0,206,,,14,26,0,605,1,9,186,,446,356,283,10,1,88,2,0,2991
3011,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,TWIN MOTORS FLIN FLON,,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,103,26749,2734,0,1,0,2,0,0,127,,,16,15,0,271,1,0,63,,316,271,204,0,2,119,1,0,1632
3012,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,TWIN MOTORS DAUPHIN,,495,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,371,26749,2734,0,1,0,2,0,0,105,,,11,21,0,726,1,158,63,,447,375,347,1,1,123,1,0,1948
3013,85A45CA7-A690-45F7-B76E-80EFC093A5FF,Winnipeg Hyundai,,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,460,8535,269,0,1,0,0,8,0,0,,,0,36,0,39,4,24,357,,1223,902,628,0,2,0,0,1,9968
3014,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,MKH VENTURES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26749,2734,192,0,0,2,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,46,0,0,787
3015,19A8BF08-D288-4D68-A887-6314E1D900E6,DEAN COOLEY MOTORS LTD,,422,64,0,0,0,0,0,0,7,7,5,1,0,0,0,0,2,2,0,0,987,289,6088,641,0,1,0,0,0,0,0,,0,0,31,0,1278,1,0,2,0,1237,1066,889,0,1,0,0,0,1690
3020,F7A0C7DF-0A0B-461D-A164-85D1DAB86720,DUNN MOTORS PORTAGE LIMITED PARTNERSHIP,,172,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,171,3245,242,0,1,0,0,8,0,12,,0,148,22,0,567,1,5,71,0,362,298,233,0,1,136,1,1,641
3021,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,ROCK COUNTRY CHEVROLET BUICK LTD,ROCK COUNTRY GM,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,385,26749,2734,0,1,0,2,0,0,327,,,97,25,0,836,1,39,151,,763,650,492,1,1,134,5,0,1799
3022,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,HAUKAAS MOTORSPORTS INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26749,2734,0,0,0,2,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,46,0,0,787
3023,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,BLT AUTOMOTIVE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26749,2734,0,0,0,2,0,0,0,,,0,0,0,0,0,9,0,,0,0,0,0,0,46,0,0,787
3024,95FE0BE2-19FE-49E7-B127-E96EE5716E9F,BMH AUTOMOTIVE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26749,2734,0,0,0,2,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,46,0,0,787
3025,12EFF604-9088-4F66-A338-84112FB8ED88,RIVER CITY FORD SALES LTD.,,1628,105,0,0,69,42,7,3,30,18,0,0,21,12,0,0,9,2,0,0,1687,1095,63635,5189,0,4,3,22,0,58,411,,,302,75,0,4655,3,2266,67,,2002,1548,1366,10,15,5,0,0,10531
3026,12EFF604-9088-4F66-A338-84112FB8ED88,CARMAN FORD SALES LTD.,,197,31,0,0,37,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,588,245,63635,5189,0,2,2,22,0,0,0,,,81,22,0,507,2,273,96,,630,555,414,3,4,156,3,0,2416
